,Stream start time,Stream length,Watch time,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour
202,Thursday 11th February 2021 12:00,254,943102,3713,5164,1166,274,112167,26392
269,Friday 27th November 2020 20:52,127,614299,4837,6721,1169,519,52959,23537
252,Saturday 12th December 2020 17:51,413,1082473,2621,3088,1173,173,149972,22218
162,Friday 26th March 2021 13:53,291,796467,2737,3881,1185,237,119418,23883
135,Monday 26th April 2021 20:20,204,781116,3829,5019,1186,364,91478,28147
238,Tuesday 29th December 2020 21:59,315,1114470,3538,4320,1207,229,122593,23351
132,Thursday 29th April 2021 21:59,180,517140,2873,3457,1213,404,89839,29946
174,Thursday 11th March 2021 15:20,279,926559,3321,3798,1239,260,135798,28589
187,Wednesday 24th February 2021 14:01,328,972192,2964,3527,1249,227,156945,28535
151,Thursday 8th April 2021 00:49,205,588555,2871,4383,1266,361,64125,18321
191,Friday 19th February 2021 12:07,337,1184218,3514,5047,1270,220,149670,26029
166,Tuesday 23rd March 2021 13:43,181,790970,4370,5540,1284,395,100250,30846
61,Friday 16th July 2021 14:11,378,1673028,4426,6155,1284,197,210771,32426
111,Monday 24th May 2021 05:21,173,381811,2207,2879,1302,434,54199,18066
47,Thursday 29th July 2021 12:19,355,2037700,5740,8250,1307,217,176933,29488
20,Thursday 2nd September 2021 17:17,372,1464564,3937,5917,1325,212,158892,25422
228,Monday 11th January 2021 07:30,105,458430,4366,8014,1349,674,41661,20830
56,Tuesday 20th July 2021 12:00,254,1402588,5522,6461,1353,318,118294,27833
24,Monday 30th August 2021 17:49,370,1493690,4037,6063,1355,216,167312,26769
52,Sunday 25th July 2021 14:03,296,2038552,6887,9051,1359,271,194584,38916
89,Tuesday 15th June 2021 21:45,165,519090,3146,3589,1377,459,84560,28186
148,Friday 9th April 2021 17:50,189,826875,4375,5206,1377,423,134767,41466
272,Tuesday 24th November 2020 22:21,323,678300,2100,3082,1379,250,77976,14177
234,Wednesday 6th January 2021 00:23,231,656502,2842,3858,1386,346,68093,17023
136,Saturday 24th April 2021 19:03,401,945157,2357,2910,1406,208,186684,27656
73,Wednesday 30th June 2021 20:04,295,1284725,4355,6964,1433,286,147843,29568
225,Thursday 14th January 2021 21:10,139,540710,3890,4774,1437,574,70849,28339
115,Friday 21st May 2021 22:16,193,598879,3103,3585,1438,442,104044,32013
7,Sunday 19th September 2021 13:36,324,1466424,4526,5681,1455,264,154163,28029
176,Tuesday 9th March 2021 15:03,236,737264,3124,3947,1457,364,96904,24226
124,Saturday 8th May 2021 22:30,209,647900,3100,3547,1462,417,104013,29718
138,Thursday 22nd April 2021 01:04,205,422300,2060,2527,1486,424,72194,20626
25,Sunday 29th August 2021 12:31,298,1404176,4712,5656,1488,297,143365,28673
62,Thursday 15th July 2021 12:01,283,1830444,6468,7698,1488,313,155249,32684
85,Saturday 19th June 2021 21:08,201,743700,3700,4260,1498,428,117451,33557
275,Saturday 21st November 2020 21:34,190,802940,4226,6774,1528,470,78786,24241
34,Friday 13th August 2021 11:40,334,1619566,4849,5995,1540,267,137023,23830
189,Sunday 21st February 2021 12:09,305,987895,3239,4026,1558,296,147519,28098
280,Monday 16th November 2020 20:09,155,851880,5496,7125,1566,569,72927,26518
170,Thursday 18th March 2021 14:04,265,1128370,4258,5688,1594,375,113863,26791
108,Thursday 27th May 2021 19:01,238,904162,3799,4766,1604,401,143489,35872
173,Saturday 13th March 2021 14:03,236,1033444,4379,5201,1609,402,127579,31894
71,Friday 2nd July 2021 21:31,298,1030186,3457,4175,1647,329,108839,21767
190,Saturday 20th February 2021 14:05,234,737568,3152,4105,1685,421,122878,30719
276,Friday 20th November 2020 20:20,264,1068672,4048,6243,1689,375,100588,22352
284,Friday 13th November 2020 18:32,237,1171254,4942,6310,1700,425,105738,26434
274,Sunday 22nd November 2020 19:21,233,1056422,4534,5518,1705,426,119004,29751
81,Wednesday 23rd June 2021 20:29,270,973080,3604,4592,1708,379,121198,26932
80,Thursday 24th June 2021 18:31,298,1102898,3701,4346,1726,345,151517,30303
118,Sunday 16th May 2021 20:30,269,847619,3151,3801,1726,383,140708,31268
68,Sunday 4th July 2021 20:01,238,937720,3940,4892,1757,439,110565,27641
70,Saturday 3rd July 2021 21:33,236,776440,3290,3895,1762,440,100247,25061
212,Saturday 30th January 2021 22:44,270,882090,3267,3917,1791,398,131685,29263
102,Tuesday 1st June 2021 21:10,229,815011,3559,4160,1813,453,113323,28330
295,Friday 6th November 2020 12:22,217,767963,3539,4731,1853,463,88083,22020
175,Wednesday 10th March 2021 13:10,364,1096004,3011,4270,1865,298,149189,23870
87,Wednesday 16th June 2021 19:34,250,848000,3392,3944,1876,441,152820,35957
126,Thursday 6th May 2021 20:00,134,480926,3589,3906,1881,836,75219,33430
207,Thursday 4th February 2021 20:13,241,1406235,5835,7579,1895,473,149913,37478
82,Tuesday 22nd June 2021 20:34,280,912240,3258,4055,1906,401,127928,26932
41,Thursday 5th August 2021 12:30,554,2984398,5387,7825,1917,207,235552,25465
219,Saturday 23rd January 2021 22:29,165,576345,3493,4060,1943,706,81891,29778
109,Tuesday 25th May 2021 20:02,237,802245,3385,3856,1947,486,139722,34930
220,Friday 22nd January 2021 21:55,229,962487,4203,4793,1955,521,115024,30673
248,Thursday 17th December 2020 20:21,308,897820,2915,3524,1968,374,135598,25828
221,Friday 22nd January 2021 00:14,285,718770,2522,3322,2011,423,90010,18949
76,Monday 28th June 2021 21:01,298,1048066,3517,3842,2076,415,124234,24846
116,Friday 21st May 2021 06:13,136,419696,3086,6685,2090,836,53695,21478
57,Monday 19th July 2021 13:49,400,1840800,4602,6204,2091,309,192433,28508
125,Friday 7th May 2021 19:10,229,793943,3467,4229,2114,528,139020,34755
250,Tuesday 15th December 2020 22:04,235,968905,4123,5235,2132,533,93427,23356
142,Saturday 17th April 2021 21:56,168,686784,4088,5639,2158,719,114151,38050
60,Saturday 17th July 2021 13:00,314,1529180,4870,6040,2185,416,170161,32411
77,Saturday 26th June 2021 18:59,390,1466790,3761,5366,2199,338,184570,28395
217,Sunday 24th January 2021 23:11,393,1175070,2990,4984,2210,327,138626,20537
128,Tuesday 4th May 2021 19:30,284,1003372,3533,4139,2215,466,177932,37459
105,Saturday 29th May 2021 19:36,413,1291038,3126,4090,2216,316,205221,29317
194,Wednesday 17th February 2021 11:16,238,1040060,4370,5415,2230,557,105846,26461
106,Friday 28th May 2021 22:26,183,731268,3996,4874,2265,696,114150,35123
292,Sunday 8th November 2020 12:56,108,645516,5977,7917,2278,1139,55090,27545
289,Monday 9th November 2020 18:44,120,834600,6955,8511,2287,1143,64374,32187
291,Sunday 8th November 2020 15:06,233,1001434,4298,8616,2289,572,110815,27703
290,Sunday 8th November 2020 21:00,105,585795,5579,6927,2304,1152,52680,26340
215,Tuesday 26th January 2021 22:02,207,841869,4067,4545,2307,709,109903,33816
273,Monday 23rd November 2020 20:55,274,1426718,5207,9113,2332,490,111171,23404
131,Saturday 1st May 2021 19:59,300,1037700,3459,3917,2339,467,177646,35529
153,Monday 5th April 2021 20:23,276,1347432,4882,7847,2360,496,163523,34425
100,Thursday 3rd June 2021 22:03,236,899868,3813,4538,2371,592,106708,26677
224,Sunday 17th January 2021 01:07,217,796390,3670,4443,2396,638,89245,23798
270,Thursday 26th November 2020 19:34,220,1256200,5710,8261,2404,641,116464,31057
121,Thursday 13th May 2021 20:04,236,881460,3735,4434,2431,607,155611,38902
197,Monday 15th February 2021 13:31,298,1215840,4080,5102,2569,513,165058,33011
242,Wednesday 23rd December 2020 21:05,369,1507734,4086,5461,2655,424,188404,30144
139,Tuesday 20th April 2021 17:40,229,783180,3420,4717,2657,664,162507,40626
222,Wednesday 20th January 2021 20:33,296,1258296,4251,5950,2682,536,167173,33434
266,Sunday 29th November 2020 20:31,448,1905792,4254,8102,2764,368,167750,22366
223,Tuesday 19th January 2021 00:16,358,1224360,3420,4915,2802,467,110511,18418
133,Wednesday 28th April 2021 20:35,234,1262196,5394,7102,2806,701,172619,43154
137,Thursday 22nd April 2021 19:30,239,897684,3756,4573,2858,714,167757,41939
104,Sunday 30th May 2021 20:03,251,1121468,4468,5287,2884,678,167025,39300
214,Thursday 28th January 2021 22:07,292,1044484,3577,4654,2890,578,141916,28383
130,Monday 3rd May 2021 18:01,298,1107964,3718,4331,2893,578,189015,37803
97,Tuesday 8th June 2021 22:19,235,1047630,4458,6160,3001,750,114923,28730
226,Wednesday 13th January 2021 22:14,285,1295610,4546,7522,3016,634,140908,29664
271,Wednesday 25th November 2020 21:41,303,1431069,4723,7366,3041,579,115789,22055
253,Thursday 10th December 2020 21:30,299,1301547,4353,5264,3134,626,124528,24905
127,Wednesday 5th May 2021 19:58,256,1107712,4327,5017,3140,738,168214,39579
90,Monday 14th June 2021 20:09,260,1065480,4098,4738,3157,701,178172,39593
230,Friday 8th January 2021 22:13,301,1355102,4502,5677,3161,632,153284,30656
241,Thursday 24th December 2020 22:01,373,1530792,4104,5174,3170,507,173589,27774
243,Tuesday 22nd December 2020 22:38,231,1404480,6080,8557,3209,802,143688,35922
112,Sunday 23rd May 2021 21:02,267,1237545,4635,5190,3240,720,164741,36609
227,Tuesday 12th January 2021 21:45,284,1220348,4297,5059,3295,693,151784,31954
244,Monday 21st December 2020 23:48,251,1408361,5611,6698,3321,781,122425,28805
93,Friday 11th June 2021 18:10,439,1617276,3684,4659,3330,444,231870,30916
231,Thursday 7th January 2021 20:33,296,1413104,4774,7069,3440,688,140752,28150
86,Friday 18th June 2021 20:03,386,1646676,4266,5766,3455,531,207498,31922
114,Saturday 22nd May 2021 21:32,237,1291887,5451,6710,3491,872,166101,41525
211,Sunday 31st January 2021 21:13,421,1406561,3341,4050,3764,537,177898,25414
84,Sunday 20th June 2021 19:33,296,1332000,4500,5336,3765,753,195167,39033
229,Saturday 9th January 2021 21:02,387,1604502,4146,5186,3780,581,189172,29103
94,Thursday 10th June 2021 18:12,287,1240988,4324,5317,3815,763,193318,38663
254,Wednesday 9th December 2020 20:33,446,1840196,4126,5864,3823,509,179332,23910
213,Friday 29th January 2021 22:43,316,1347108,4263,5860,3867,736,156042,29722
246,Saturday 19th December 2020 00:10,199,1154001,5799,7418,3911,1117,105681,30194
261,Wednesday 2nd December 2020 20:17,297,1758537,5921,7254,4014,802,153710,30742
140,Monday 19th April 2021 17:44,240,2008320,8368,11094,4084,960,214468,50463
287,Tuesday 10th November 2020 14:30,165,1080915,6551,8294,4190,1396,109548,36516
122,Wednesday 12th May 2021 19:58,316,1549348,4903,6093,4201,800,215345,41018
267,Saturday 28th November 2020 21:26,543,2118243,3901,5865,4205,454,188885,20420
251,Monday 14th December 2020 22:15,359,1516057,4223,6588,4622,770,144134,24022
262,Tuesday 1st December 2020 21:42,602,2226196,3698,6202,4780,490,176891,18142
249,Wednesday 16th December 2020 20:39,290,1754500,6050,7963,4990,998,166127,33225
299,Wednesday 4th November 2020 13:25,214,2096130,9795,13286,5032,1341,153852,41027
293,Saturday 7th November 2020 16:34,175,1284850,7342,10773,5599,1866,97136,32378
255,Tuesday 8th December 2020 21:23,366,2062776,5636,6981,5844,935,184977,29596
245,Saturday 19th December 2020 22:16,538,2773928,5156,7448,6096,677,245168,27240
256,Monday 7th December 2020 19:09,605,3619110,5982,9633,7065,689,270778,26417
297,Thursday 5th November 2020 12:56,333,2512152,7544,9621,7354,1278,176005,30609
232,Thursday 7th January 2021 01:45,59,198830,3370,3558,9123,9123,22048,22048
216,Monday 25th January 2021 22:22,322,1251292,3886,5162,9723,1767,148049,26918
155,Friday 2nd April 2021 22:02,162,397548,2454,4154,11109,4039,69324,25208
