"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"151","Thursday 8th April 2021 00:49","https://sullygnome.com/channel/melina/stream/41341046605","205","588555","2871","4383","1266","361","64125","18321","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"152","Tuesday 6th April 2021 19:29","https://sullygnome.com/channel/melina/stream/41324490429","60","183720","3062","3438","248","248","42593","42593","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"153","Monday 5th April 2021 20:23","https://sullygnome.com/channel/melina/stream/41312191341","276","1347432","4882","7847","2360","496","163523","34425","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"154","Saturday 3rd April 2021 20:07","https://sullygnome.com/channel/melina/stream/41286004957","277","881968","3184","5365","1151","242","136903","28821","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"155","Friday 2nd April 2021 22:02","https://sullygnome.com/channel/melina/stream/41273068477","162","397548","2454","4154","11109","4039","69324","25208","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"156","Thursday 1st April 2021 21:17","https://sullygnome.com/channel/melina/stream/41257788413","42","82530","1965","2365","115","153","11669","15558","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"157","Thursday 1st April 2021 18:01","https://sullygnome.com/channel/melina/stream/41255233421","163","564632","3464","4319","967","351","91720","33352","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"158","Thursday 1st April 2021 01:07","https://sullygnome.com/channel/melina/stream/41246487549","97","157722","1626","1972","374","213","21185","12105","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"159","Wednesday 31st March 2021 14:10","https://sullygnome.com/channel/melina/stream/41239040141","214","831176","3884","5080","936","249","112857","30095","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"160","Tuesday 30th March 2021 20:46","https://sullygnome.com/channel/melina/stream/41230118093","193","718153","3721","6430","1113","371","95028","31676","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"161","Saturday 27th March 2021 14:24","https://sullygnome.com/channel/melina/stream/41184940413","200","656400","3282","4026","1017","290","103036","29438","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"162","Friday 26th March 2021 13:53","https://sullygnome.com/channel/melina/stream/41169603421","291","796467","2737","3881","1185","237","119418","23883","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"163","Thursday 25th March 2021 16:30","https://sullygnome.com/channel/melina/stream/41157551421","149","372053","2497","2899","488","195","53023","21209","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"164","Wednesday 24th March 2021 20:00","https://sullygnome.com/channel/melina/stream/42090570062","194","391686","2019","2413","496","152","78838","24257","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"165","Wednesday 24th March 2021 14:26","https://sullygnome.com/channel/melina/stream/42087088862","228","733248","3216","4197","1054","263","95982","23995","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
